200
91 35
77 4
63 2
60 82
22 41
53 87
67 70
11 82
33 8
43 32
33 53
4 47
55 33
27 66
49 40
27 20
46 62
30 90
75 1
8 74
70 1
100 31
59 58
69 91
22 6
40 51
96 43
94 23
22 74
70 35
99 1
96 73
48 99
49 82
60 97
14 47
51 15
54 74
22 32
98 76
3 16
27 70
14 38
33 9
99 42
9 37
81 67
20 89
90 95
77 96
83 14
15 7
27 28
87 67
44 29
74 27
63 85
3 12
98 84
85 89
1 69
60 53
4 70
92 55
58 21
25 94
23 19
39 45
28 2
85 63
71 99
12 16
21 79
5 37
73 41
56 56
87 22
90 22
29 47
68 71
42 12
44 40
84 35
98 43
82 22
34 33
74 61
63 83
2 73
95 15
42 94
94 1
69 4
41 78
16 91
58 29
69 70
61 49
26 99
36 28
55 8
72 83
81 53
44 47
11 19
67 12
71 31
65 37
41 24
29 8
8 79
23 22
65 96
98 47
3 2
70 31
44 88
69 29
70 64
65 56
22 62
12 5
1 66
22 34
56 100
72 7
48 73
45 94
96 33
43 8
75 12
29 99
26 52
65 85
8 15
18 78
22 82
33 53
93 12
5 10
91 21
12 59
28 79
60 8
39 0
81 42
74 5
35 54
35 99
50 17
1 25
88 21
36 50
79 96
27 0
39 100
61 92
59 60
32 1
51 91
42 22
28 83
98 31
78 94
30 58
93 42
10 84
12 7
92 32
80 38
45 42
25 26
69 62
30 57
91 59
30 71
22 47
29 58
32 38
6 4
52 14
29 36
91 96
61 35
95 27
4 74
80 93
48 71
13 31
63 86
37 85
40 32
66 27
4 85
1 47
17 87
87 13
91 64
88 79
79 45
