250
75 28
12 27
4 30
13 52
41 65
23 60
95 30
11 29
79 12
34 70
45 96
26 100
69 4
30 67
6 85
94 34
85 66
58 89
57 36
80 25
56 88
10 62
82 82
27 4
19 20
53 30
39 48
22 87
43 87
11 95
92 66
80 15
10 70
75 64
5 11
16 4
94 40
68 73
87 12
67 47
0 24
46 4
89 58
66 75
67 53
58 35
94 69
17 72
13 5
75 64
78 39
57 58
40 6
45 23
28 24
7 63
6 64
43 71
93 12
18 0
55 100
3 57
24 7
93 97
6 91
48 35
36 53
82 91
38 67
60 85
30 57
59 76
99 98
12 63
35 23
89 48
35 97
6 50
48 2
96 73
92 6
25 11
80 11
84 98
43 8
55 71
36 85
48 73
32 84
75 99
88 94
89 35
92 88
51 33
5 27
19 21
100 2
93 36
0 51
94 91
26 30
54 34
13 63
78 88
98 94
49 64
59 7
77 29
36 85
87 36
58 63
60 76
13 62
71 96
25 46
54 91
27 34
50 40
7 85
37 76
44 92
62 14
38 29
84 1
83 36
60 17
48 12
73 7
36 97
66 45
29 8
14 4
45 82
71 79
81 8
92 21
23 24
82 18
31 48
17 10
58 60
29 0
79 16
48 78
35 18
4 34
8 28
11 3
48 47
72 68
7 100
24 76
12 25
99 25
53 13
46 55
71 31
31 70
75 39
32 96
41 99
86 15
69 20
85 21
4 7
20 25
21 48
91 6
45 47
71 100
68 74
38 47
20 41
44 43
10 39
91 73
6 54
87 6
47 94
93 82
10 100
31 47
37 9
52 59
84 41
98 31
91 28
24 77
88 13
98 13
85 53
22 2
74 87
67 10
61 92
24 100
78 73
35 17
47 2
0 39
33 76
100 19
11 10
25 84
54 56
19 26
53 99
83 34
83 29
54 42
78 26
29 93
71 67
28 16
6 0
1 88
27 76
10 95
14 35
62 54
28 23
45 9
56 31
78 68
16 88
13 85
100 2
16 16
74 94
57 6
36 27
10 92
11 12
14 53
64 42
18 78
21 84
8 62
7 28
12 23
14 68
22 94
19 19
28 26
36 78
26 21
17 28
86 88
47 85
7 16
